,pefr_am,pefr_pm
count,337.0,337.0
min,149.0,163.0
median,240.0,232.0
max,307.0,298.0
mean,240.4673590504451,232.65430267062314
sum,81037.5,78404.5
std,22.327950137068363,23.63063789668297
skew,-0.027930215124770504,0.06229472628527249
