,pefr_am,pefr_pm
count,1161.0,1160.0
min,430.0,50.0
median,530.0,540.0
max,640.0,660.0
mean,530.3445305770887,541.2672413793103
sum,615730.0,627870.0
std,23.792605845187605,35.10660647364351
skew,-0.6445408214427178,-4.6873479047467965
