,pefr_am,pefr_pm
count,168.0,168.0
min,122.0,129.0
median,215.0,208.0
max,281.0,300.0
mean,212.15178571428572,206.6875
sum,35641.5,34723.5
std,34.26965797713737,31.653895877940474
skew,-0.285327329837216,-0.05602615460716436
