,pefr_am,pefr_pm
count,320.0,320.0
min,210.0,210.0
median,307.08333333333337,320.0
max,350.0,410.0
mean,305.125,321.578125
sum,97640.0,102905.0
std,17.552032414137837,18.845184985915882
skew,-1.1211427303404893,-0.2536488543536847
