,pefr_am,pefr_pm
count,623.0,623.0
min,250.0,250.0
median,300.0,300.0
max,440.0,500.0
mean,309.26645264847514,314.3836276083467
sum,192673.0,195861.0
std,24.34392404767878,25.060034444691805
skew,0.9236693842115676,1.3680583576895455
