,pefr_am,pefr_pm
count,1384.0,1384.0
min,80.0,250.0
median,380.0,390.0
max,450.0,460.0
mean,371.7702312138728,379.70375722543355
sum,514530.0,525510.0
std,34.35936717193066,34.42239577332527
skew,-1.641782011530516,-0.8117138313642721
