,pefr_am,pefr_pm
count,984.0,984.0
min,390.0,20.0
median,520.0,510.0
max,590.0,650.0
mean,515.9552845528456,509.9197154471545
sum,507700.0,501761.0
std,38.82570512427984,44.45422066084906
skew,-0.8015940489506771,-2.956264308233775
