,pefr_am,pefr_pm
count,539.0,539.0
min,290.0,310.0
median,350.0,360.0
max,390.0,400.0
mean,351.2448979591837,356.80890538033395
sum,189321.0,192320.0
std,16.977475024681382,14.57884070215843
skew,-0.5715661260826644,-0.4091779032969051
