,pefr_am,pefr_pm
count,388.0,938.0
min,300.0,270.0
median,371.4285714285714,380.0
max,420.0,520.0
mean,367.60309278350513,375.6204690831556
sum,142630.0,352332.0
std,26.415063776924978,20.25162511044838
skew,-0.811490250228514,-0.11522220291266003
