,pefr_am,pefr_pm
count,366.0,172.0
min,330.0,320.0
median,389.125,340.0
max,499.0,380.0
mean,388.0027322404372,343.43023255813955
sum,142009.0,59070.0
std,18.87519996293394,13.712395469730938
skew,-0.08231590799628506,0.8986458450989563
