,pefr_am,pefr_pm
count,362.0,362.0
min,225.0,243.0
median,290.0,307.0
max,341.0,369.0
mean,289.189226519337,307.49309392265195
sum,104686.5,111312.5
std,18.228929549764125,19.27677908640903
skew,-0.25651402167349907,-0.07201922416050528
