,pefr_am,pefr_pm
count,308.0,308.0
min,150.0,150.0
median,323.75,350.0
max,350.0,400.0
mean,308.57142857142856,351.31493506493507
sum,95040.0,108205.0
std,36.854249995390155,23.48830750273631
skew,-1.533321634743074,-2.180013972929325
