,pefr_am,pefr_pm
count,500.0,500.0
min,250.0,330.0
median,485.0,500.0
max,580.0,580.0
mean,460.118,482.36
sum,230059.0,241180.0
std,72.75840857527864,60.51699496857658
skew,-0.8245042240142719,-0.5301096835404452
