,pefr_am,pefr_pm
count,718.0,717.0
min,400.0,440.0
median,550.0,580.0
max,650.0,680.0
mean,554.3231197771588,580.6624825662483
sum,398004.0,416335.0
std,36.56821516191201,33.50790619580917
skew,-0.1503076401661196,-0.45297136854381487
