,pefr_am,pefr_pm
count,1369.0,1369.0
min,50.0,550.0
median,580.0,600.0
max,640.0,640.0
mean,581.7348429510591,599.1599707815924
sum,796395.0,820250.0
std,25.384538912161958,15.220935451625019
skew,-13.465468172191672,-0.2851342562824498
