,pefr_am,pefr_pm
count,270.0,270.0
min,325.0,360.0
median,366.5,400.0
max,411.0,495.0
mean,367.7814814814815,401.6592592592593
sum,99301.0,108448.0
std,14.98222086457717,12.511623124275685
skew,0.18848618151094818,1.6974860098517026
