,pefr_am,pefr_pm
count,485.0,22.0
min,223.0,300.0
median,320.0,300.0
max,360.0,300.0
mean,318.27010309278353,300.0
sum,154361.0,6600.0
std,21.792864880508326,0.0
skew,-0.797697730016866,0.0
