,pefr_am,pefr_pm
count,451.0,455.0
min,350.0,40.0
median,430.0,430.0
max,470.0,470.0
mean,424.4789356984479,423.84615384615387
sum,191440.0,192850.0
std,24.50142035476515,37.639802676146395
skew,-1.0244134705641588,-5.59608303530134
