,pefr_am,pefr_pm
count,61.0,61.0
min,340.0,340.0
median,350.0,360.0
max,380.0,380.0
mean,352.04918032786884,356.88524590163934
sum,21475.0,21770.0
std,5.872041750272205,7.7008622042291215
skew,2.011199225307293,0.7769767039878831
