,pefr_am,pefr_pm
count,315.0,315.0
min,450.0,450.0
median,500.0,500.0
max,600.0,600.0
mean,501.6507936507937,498.41269841269843
sum,158020.0,157000.0
std,16.867938466043434,12.695145419319672
skew,3.997575197444957,2.6884511517847467
