,pefr_am,pefr_other
count,339.0,314.0
min,170.0,190.0
median,290.0,290.0
max,430.0,490.0
mean,295.8702064896755,288.85350318471336
sum,100300.0,90700.0
std,49.73620286736816,52.71316529710781
skew,0.27216879684178397,0.3245409012845474
