,pefr_am,pefr_pm
count,307.0,307.0
min,200.0,200.0
median,270.0,270.0
max,700.0,750.0
mean,288.84364820846906,283.9413680781759
sum,88675.0,87170.0
std,73.07378299917472,67.57197933610911
skew,4.008667868244238,3.790142162521778
