,pefr_am,pefr_other
count,150.0,324.0
min,104.0,73.0
median,142.75,120.71153846153845
max,183.0,210.0
mean,139.62,122.07870370370371
sum,20943.0,39553.5
std,19.2248013392202,18.258397806090333
skew,-0.192423323345957,0.5938073225083708
