,pefr_am,pefr_pm
count,269.0,140.0
min,170.0,270.0
median,310.0,320.0
max,370.0,390.0
mean,308.10408921933083,318.17857142857144
sum,82880.0,44545.0
std,34.087369745346315,25.102169326098064
skew,-1.6696582466727257,-0.049201942927237535
