,pefr_am,pefr_other
count,36.0,31.0
min,280.0,300.0
median,330.0,380.0
max,400.0,380.0
mean,325.27777777777777,360.0
sum,11710.0,11160.0
std,20.90606352385576,28.047578623950173
skew,0.8525474867092999,-0.959274199313673
