,pefr_am,pefr_pm
count,684.0,655.0
min,46.0,20.0
median,420.0,450.0
max,560.0,530.0
mean,424.5409356725146,446.3206106870229
sum,290386.0,292340.0
std,39.12776576446673,33.169226905072556
skew,-0.4549485145775494,-3.3500497671197045
