,pefr_am,pefr_pm
count,1137.0,185.0
min,250.0,290.0
median,320.0,320.0
max,360.0,350.0
mean,319.5250659630607,320.43243243243245
sum,363300.0,59280.0
std,18.361965000074754,13.344394158752944
skew,-0.3329971148538528,-0.20467022207796887
