,pefr_am,pefr_pm
count,304.0,192.0
min,300.0,340.0
median,350.0,360.0
max,400.0,390.0
mean,352.31907894736844,360.46875
sum,107105.0,69210.0
std,14.257190802465429,10.385622318000921
skew,0.5434755931733363,0.3096410372448223
